n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
4,4000,9,100,brute,0.76,0.24000000953674316,0.24000000953674316
4,4000,27,100,brute,0.7645,0.24599862098693848,0.24599862098693848
4,4000,65,100,brute,0.771,0.24700045585632324,0.24700045585632324
4,4000,99,100,brute,0.768,0.2500004768371582,0.2500004768371582
9,200,3,2,ball_tree,0.48,0.006999969482421875,0.006999969482421875
9,200,7,2,ball_tree,0.5,0.007999181747436523,0.007999181747436523
9,200,9,2,ball_tree,0.52,0.00700068473815918,0.00700068473815918
9,200,27,2,ball_tree,0.57,0.008998632431030273,0.008998632431030273
9,200,65,2,ball_tree,0.52,0.007999897003173828,0.007999897003173828
9,200,99,2,ball_tree,0.46,0.006999492645263672,0.006999492645263672
9,200,3,30,ball_tree,0.48,0.007001638412475586,0.007001638412475586
9,200,7,30,ball_tree,0.5,0.0069997310638427734,0.0069997310638427734
9,200,9,30,ball_tree,0.52,0.00699925422668457,0.00699925422668457
9,200,27,30,ball_tree,0.57,0.007000923156738281,0.007000923156738281
9,200,65,30,ball_tree,0.52,0.008000373840332031,0.008000373840332031
9,200,99,30,ball_tree,0.46,0.007998943328857422,0.007998943328857422
9,200,3,100,ball_tree,0.48,0.00700068473815918,0.00700068473815918
9,200,7,100,ball_tree,0.5,0.007000446319580078,0.007000446319580078
9,200,9,100,ball_tree,0.52,0.0069997310638427734,0.0069997310638427734
9,200,27,100,ball_tree,0.57,0.007999897003173828,0.007999897003173828
9,200,65,100,ball_tree,0.52,0.007000923156738281,0.007000923156738281
9,200,99,100,ball_tree,0.46,0.00799870491027832,0.00799870491027832
9,200,3,2,kd_tree,0.48,0.006999969482421875,0.006999969482421875
9,200,7,2,kd_tree,0.5,0.008000373840332031,0.008000373840332031
9,200,9,2,kd_tree,0.52,0.007000923156738281,0.007000923156738281
9,200,27,2,kd_tree,0.57,0.00799870491027832,0.00799870491027832
9,200,65,2,kd_tree,0.52,0.008000373840332031,0.008000373840332031
9,200,99,2,kd_tree,0.46,0.009000539779663086,0.009000539779663086
9,200,3,30,kd_tree,0.48,0.0070002079010009766,0.0070002079010009766
9,200,7,30,kd_tree,0.5,0.005999088287353516,0.005999088287353516
9,200,9,30,kd_tree,0.52,0.008004188537597656,0.008004188537597656
9,200,27,30,kd_tree,0.57,0.00699615478515625,0.00699615478515625
9,200,65,30,kd_tree,0.52,0.00800013542175293,0.00800013542175293
9,200,99,30,kd_tree,0.46,0.007999420166015625,0.007999420166015625
9,200,3,100,kd_tree,0.48,0.0069997310638427734,0.0069997310638427734
9,200,7,100,kd_tree,0.5,0.00700068473815918,0.00700068473815918
9,200,9,100,kd_tree,0.52,0.0070037841796875,0.0070037841796875
9,200,27,100,kd_tree,0.57,0.00699615478515625,0.00699615478515625
9,200,65,100,kd_tree,0.52,0.007998466491699219,0.007998466491699219
9,200,99,100,kd_tree,0.46,0.008004426956176758,0.008004426956176758
9,200,3,2,brute,0.48,0.005998373031616211,0.005998373031616211
9,200,7,2,brute,0.5,0.006999492645263672,0.006999492645263672
9,200,9,2,brute,0.52,0.0060002803802490234,0.0060002803802490234
9,200,27,2,brute,0.57,0.007003307342529297,0.007003307342529297
9,200,65,2,brute,0.52,0.006996870040893555,0.006996870040893555
9,200,99,2,brute,0.46,0.008004426956176758,0.008004426956176758
9,200,3,30,brute,0.48,0.005993843078613281,0.005993843078613281
9,200,7,30,brute,0.5,0.007001638412475586,0.007001638412475586
9,200,9,30,brute,0.52,0.00699925422668457,0.00699925422668457
9,200,27,30,brute,0.57,0.00700068473815918,0.00700068473815918
9,200,65,30,brute,0.52,0.0069997310638427734,0.0069997310638427734
9,200,99,30,brute,0.46,0.007997989654541016,0.007997989654541016
9,200,3,100,brute,0.48,0.006002664566040039,0.006002664566040039
9,200,7,100,brute,0.5,0.007997512817382812,0.007997512817382812
9,200,9,100,brute,0.52,0.007001161575317383,0.007001161575317383
9,200,27,100,brute,0.57,0.00800013542175293,0.00800013542175293
9,200,65,100,brute,0.52,0.0069997310638427734,0.0069997310638427734
9,200,99,100,brute,0.46,0.009000539779663086,0.009000539779663086
9,400,3,2,ball_tree,0.485,0.011996746063232422,0.011996746063232422
9,400,7,2,ball_tree,0.53,0.01400136947631836,0.01400136947631836
9,400,9,2,ball_tree,0.5,0.013000249862670898,0.013000249862670898
9,400,27,2,ball_tree,0.52,0.012999773025512695,0.012999773025512695
9,400,65,2,ball_tree,0.515,0.01399993896484375,0.01399993896484375
9,400,99,2,ball_tree,0.54,0.01600050926208496,0.01600050926208496
9,400,3,30,ball_tree,0.485,0.01199960708618164,0.01199960708618164
9,400,7,30,ball_tree,0.53,0.011999845504760742,0.011999845504760742
9,400,9,30,ball_tree,0.5,0.011999368667602539,0.011999368667602539
9,400,27,30,ball_tree,0.52,0.013000249862670898,0.013000249862670898
9,400,65,30,ball_tree,0.515,0.012999534606933594,0.012999534606933594
9,400,99,30,ball_tree,0.54,0.015001058578491211,0.015001058578491211
9,400,3,100,ball_tree,0.485,0.011999845504760742,0.011999845504760742
9,400,7,100,ball_tree,0.53,0.011998891830444336,0.011998891830444336
9,400,9,100,ball_tree,0.5,0.01200103759765625,0.01200103759765625
9,400,27,100,ball_tree,0.52,0.01300048828125,0.01300048828125
9,400,65,100,ball_tree,0.515,0.013999223709106445,0.013999223709106445
9,400,99,100,ball_tree,0.54,0.0149993896484375,0.0149993896484375
9,400,3,2,kd_tree,0.485,0.012000799179077148,0.012000799179077148
9,400,7,2,kd_tree,0.53,0.011000633239746094,0.011000633239746094
9,400,9,2,kd_tree,0.5,0.01300048828125,0.01300048828125
9,400,27,2,kd_tree,0.52,0.013000965118408203,0.013000965118408203
9,400,65,2,kd_tree,0.515,0.014998674392700195,0.014998674392700195
9,400,99,2,kd_tree,0.54,0.016000747680664062,0.016000747680664062
9,400,3,30,kd_tree,0.485,0.011998891830444336,0.011998891830444336
9,400,7,30,kd_tree,0.53,0.013000011444091797,0.013000011444091797
9,400,9,30,kd_tree,0.5,0.01200246810913086,0.01200246810913086
9,400,27,30,kd_tree,0.52,0.011996030807495117,0.011996030807495117
9,400,65,30,kd_tree,0.515,0.014000654220581055,0.014000654220581055
9,400,99,30,kd_tree,0.54,0.016001224517822266,0.016001224517822266
9,400,3,100,kd_tree,0.485,0.011997699737548828,0.011997699737548828
9,400,7,100,kd_tree,0.53,0.01200246810913086,0.01200246810913086
9,400,9,100,kd_tree,0.5,0.012997865676879883,0.012997865676879883
9,400,27,100,kd_tree,0.52,0.013000965118408203,0.013000965118408203
9,400,65,100,kd_tree,0.515,0.013999223709106445,0.013999223709106445
9,400,99,100,kd_tree,0.54,0.014000177383422852,0.014000177383422852
9,400,3,2,brute,0.485,0.012999296188354492,0.012999296188354492
9,400,7,2,brute,0.53,0.011001348495483398,0.011001348495483398
9,400,9,2,brute,0.5,0.011998414993286133,0.011998414993286133
9,400,27,2,brute,0.52,0.012000322341918945,0.012000322341918945
9,400,65,2,brute,0.515,0.012998819351196289,0.012998819351196289
9,400,99,2,brute,0.54,0.014000892639160156,0.014000892639160156
9,400,3,30,brute,0.485,0.01100015640258789,0.01100015640258789
9,400,7,30,brute,0.53,0.011999368667602539,0.011999368667602539
9,400,9,30,brute,0.5,0.011999368667602539,0.011999368667602539
9,400,27,30,brute,0.52,0.01500082015991211,0.01500082015991211
9,400,65,30,brute,0.515,0.015002250671386719,0.015002250671386719
