n_dimensions,n_samples,n_neigbors,leaf_size,algorithm,score,time_fit,time_predict
2,4000,9,30,kd_tree,0.9915,0.09599947929382324,0.09599947929382324
2,4000,27,30,kd_tree,0.995,0.10099983215332031,0.10099983215332031
2,4000,65,30,kd_tree,0.9965,0.11600160598754883,0.11600160598754883
2,4000,99,30,kd_tree,0.9895,0.1309986114501953,0.1309986114501953
2,4000,3,100,kd_tree,0.992,0.09600019454956055,0.09600019454956055
2,4000,7,100,kd_tree,0.9925,0.09600114822387695,0.09600114822387695
2,4000,9,100,kd_tree,0.9915,0.09799838066101074,0.09799838066101074
2,4000,27,100,kd_tree,0.995,0.10700106620788574,0.10700106620788574
2,4000,65,100,kd_tree,0.9965,0.11799955368041992,0.11799955368041992
2,4000,99,100,kd_tree,0.9895,0.12999939918518066,0.12999939918518066
2,4000,3,2,brute,0.992,0.1939995288848877,0.1939995288848877
2,4000,7,2,brute,0.9925,0.20600032806396484,0.20600032806396484
2,4000,9,2,brute,0.9915,0.20600008964538574,0.20600008964538574
2,4000,27,2,brute,0.995,0.21200132369995117,0.21200132369995117
2,4000,65,2,brute,0.9965,0.22000408172607422,0.22000408172607422
2,4000,99,2,brute,0.9895,0.23399639129638672,0.23399639129638672
2,4000,3,30,brute,0.992,0.1939992904663086,0.1939992904663086
2,4000,7,30,brute,0.9925,0.2069988250732422,0.2069988250732422
2,4000,9,30,brute,0.9915,0.20300006866455078,0.20300006866455078
2,4000,27,30,brute,0.995,0.20600032806396484,0.20600032806396484
2,4000,65,30,brute,0.9965,0.2220001220703125,0.2220001220703125
2,4000,99,30,brute,0.9895,0.2370004653930664,0.2370004653930664
2,4000,3,100,brute,0.992,0.19099950790405273,0.19099950790405273
2,4000,7,100,brute,0.9925,0.20199918746948242,0.20199918746948242
2,4000,9,100,brute,0.9915,0.20300078392028809,0.20300078392028809
2,4000,27,100,brute,0.995,0.21400022506713867,0.21400022506713867
2,4000,65,100,brute,0.9965,0.22299957275390625,0.22299957275390625
2,4000,99,100,brute,0.9895,0.24300098419189453,0.24300098419189453
3,200,3,2,ball_tree,0.94,0.00599980354309082,0.00599980354309082
3,200,7,2,ball_tree,0.93,0.006999015808105469,0.006999015808105469
3,200,9,2,ball_tree,0.95,0.006000518798828125,0.006000518798828125
3,200,27,2,ball_tree,0.97,0.007000446319580078,0.007000446319580078
3,200,65,2,ball_tree,0.94,0.007999658584594727,0.007999658584594727
3,200,99,2,ball_tree,0.45,0.00700068473815918,0.00700068473815918
3,200,3,30,ball_tree,0.94,0.005998134613037109,0.005998134613037109
3,200,7,30,ball_tree,0.93,0.0070018768310546875,0.0070018768310546875
3,200,9,30,ball_tree,0.95,0.005998849868774414,0.005998849868774414
3,200,27,30,ball_tree,0.97,0.0070002079010009766,0.0070002079010009766
3,200,65,30,ball_tree,0.94,0.00700068473815918,0.00700068473815918
3,200,99,30,ball_tree,0.45,0.00699925422668457,0.00699925422668457
3,200,3,100,ball_tree,0.94,0.00599980354309082,0.00599980354309082
3,200,7,100,ball_tree,0.93,0.00599980354309082,0.00599980354309082
3,200,9,100,ball_tree,0.95,0.0060007572174072266,0.0060007572174072266
3,200,27,100,ball_tree,0.97,0.006998777389526367,0.006998777389526367
3,200,65,100,ball_tree,0.94,0.007001399993896484,0.007001399993896484
3,200,99,100,ball_tree,0.45,0.0069980621337890625,0.0069980621337890625
3,200,3,2,kd_tree,0.94,0.006000041961669922,0.006000041961669922
3,200,7,2,kd_tree,0.93,0.006000518798828125,0.006000518798828125
3,200,9,2,kd_tree,0.95,0.006999492645263672,0.006999492645263672
3,200,27,2,kd_tree,0.97,0.0070002079010009766,0.0070002079010009766
3,200,65,2,kd_tree,0.94,0.009001016616821289,0.009001016616821289
3,200,99,2,kd_tree,0.45,0.008999824523925781,0.008999824523925781
3,200,3,30,kd_tree,0.94,0.006999969482421875,0.006999969482421875
3,200,7,30,kd_tree,0.93,0.005999326705932617,0.005999326705932617
3,200,9,30,kd_tree,0.95,0.0060007572174072266,0.0060007572174072266
3,200,27,30,kd_tree,0.97,0.006000518798828125,0.006000518798828125
3,200,65,30,kd_tree,0.94,0.006997585296630859,0.006997585296630859
3,200,99,30,kd_tree,0.45,0.009002208709716797,0.009002208709716797
3,200,3,100,kd_tree,0.94,0.0059986114501953125,0.0059986114501953125
3,200,7,100,kd_tree,0.93,0.006999492645263672,0.006999492645263672
3,200,9,100,kd_tree,0.95,0.006000041961669922,0.006000041961669922
3,200,27,100,kd_tree,0.97,0.0070018768310546875,0.0070018768310546875
3,200,65,100,kd_tree,0.94,0.0069980621337890625,0.0069980621337890625
3,200,99,100,kd_tree,0.45,0.008001089096069336,0.008001089096069336
3,200,3,2,brute,0.94,0.005999565124511719,0.005999565124511719
3,200,7,2,brute,0.93,0.005999565124511719,0.005999565124511719
3,200,9,2,brute,0.95,0.006999969482421875,0.006999969482421875
3,200,27,2,brute,0.97,0.0060002803802490234,0.0060002803802490234
3,200,65,2,brute,0.94,0.0069997310638427734,0.0069997310638427734
3,200,99,2,brute,0.45,0.00699925422668457,0.00699925422668457
3,200,3,30,brute,0.94,0.006000518798828125,0.006000518798828125
3,200,7,30,brute,0.93,0.005999565124511719,0.005999565124511719
3,200,9,30,brute,0.95,0.006001472473144531,0.006001472473144531
3,200,27,30,brute,0.97,0.005998849868774414,0.005998849868774414
3,200,65,30,brute,0.94,0.006999969482421875,0.006999969482421875
3,200,99,30,brute,0.45,0.006999969482421875,0.006999969482421875
3,200,3,100,brute,0.94,0.006000041961669922,0.006000041961669922
3,200,7,100,brute,0.93,0.005999565124511719,0.005999565124511719
3,200,9,100,brute,0.95,0.006001949310302734,0.006001949310302734
3,200,27,100,brute,0.97,0.0069980621337890625,0.0069980621337890625
3,200,65,100,brute,0.94,0.007001161575317383,0.007001161575317383
3,200,99,100,brute,0.45,0.007999897003173828,0.007999897003173828
3,400,3,2,ball_tree,0.935,0.011999368667602539,0.011999368667602539
3,400,7,2,ball_tree,0.97,0.010999202728271484,0.010999202728271484
3,400,9,2,ball_tree,0.95,0.010999441146850586,0.010999441146850586
3,400,27,2,ball_tree,0.945,0.014002084732055664,0.014002084732055664
3,400,65,2,ball_tree,0.9,0.012998342514038086,0.012998342514038086
